CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Lawrence,Outside New Balance factory,MA,US,2017-07-20,about 200,200,,200,,,MA chapter of SEIU,Oppose Rep. Paul Ryan's proposals for healthcare and tax cuts,1,protest,0,0,0,0,1,1,http://www.eagletribune.com/news/hundreds-gather-to-protest-visit-from-paul-ryan/article_8ba60d14-6d74-11e7-8110-0fe479155ef8.html,http://www.eagletribune.com/news/merrimack_valley/ryan-talks-tax-policy-house-speaker-visits-new-balance-amidst/article_08b0c852-805f-5744-bf08-eb2756ed357f.html,http://www.wfmj.com/story/35927242/ryan-pitches-tax-reform-at-shoe-factory-as-protesters-gather,,,,
Minneapolis,Fulton in South Minneapolis,MN,US,2017-07-20,hundreds,200,,200,,,Women’s March Minnesota,March for Healing and Justice for Justine + ALL Killed by Police,0,march,0,0,0,0,1,1,http://www.startribune.com/hundreds-rally-march-to-honor-damond-s-life-mourn-her-death/435737183/#1,http://www.twincities.com/2017/07/20/justine-damond-memorial-march-planned-for-tonight-in-minneapolis/,,,,,
Minneapolis,from Loring Park to City Hall,MO,US,2017-07-21,about 200,200,,200,,,general protestors,Demand resignation of police chief and mayor after fatal police shooting,0,march,0,0,0,0,1,1,http://www.startribune.com/minneapolis-police-chief-janee-harteau-resigns/435864713/,http://myfox8.com/2017/07/22/minneapolis-police-chief-resigns-in-wake-of-fatal-shooting-protesters-interrupt-press-conference/,https://www.mprnews.org/story/2017/07/21/mpls-council-members-want-harteau-out,,,,
Cincinnati,Fountain Square,OH,US,2017-07-22,estimated 200,200,,200,,,Black Lives Matter,"Protesting second mistrial for Cop, Tensing, who killed unarmed black man",0,protest,0,0,0,0,1,1,http://www.wlwt.com/article/voices-of-protest-continue-rising-following-decision-on-ray-tensing-retrial/10332768,https://www.google.com/search?rlz=1C5CHFA_enUS722US722&biw=1153&bih=612&tbs=qdr%3Ad&tbm=nws&q=rally&oq=rally&gs_l=psy-ab.3..0l4.12174.12937.0.13074.5.5.0.0.0.0.132.404.4j1.5.0....0...1.1.64.psy-ab..0.5.403.ebEJkO8PmWM,,,,,
Cleveland,East Cleveland,OH,US,2017-07-22,hundreds,200,,200,,,general protestors,Stop the violence rally,0,rally,0,0,0,0,1,1,https://townhall.com/tipsheet/jennifervanlaar/2017/07/23/cleveland-communitys-rally-against-blackonblack-crime-ignored-by-media-n2358675,,,,,,
Washington,Washington Monument to Dept. of Education,DC,US,2017-07-22,"hundreds; as many as 1,500",200,,1500,,,"organizers Steve Ciprani and Wiaan De Beer from West Chester, PA's Henderson High School; organizer Pavithra Nagarajan of Columbia University",March for Public Education,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/news/nationworld/politics/ct-public-education-rally-washington-20170722-story.html,http://www.concordmonitor.com/In-D-C-rally-hundreds-protest-Trump-s-planned-cuts-to-education-11437134,http://www.courant.com/nation-world/ct-public-education-rally-washington-20170722-story.html,http://www.philly.com/philly/news/west-chester-teacher-co-chairs-national-education-march-20170722.html,,,
New Haven,outside the Iglesia De Dios Pentecostal,CT,US,2017-07-23,hundreds; more than 200,200,,200,,,Connecticut Immigrant Rights Alliance,against deporting Nury Chavarria,1,vigil,0,0,0,0,1,1,http://www.courant.com/news/connecticut/hc-new-haven-vigil-0724-20170723-story.html#nt=oft12aH-1la1,http://www.stamfordadvocate.com/local/article/Supporters-rally-around-woman-taking-refuge-in-11322723.php,,,,,
Los Angeles,Aliso Canyon natural gas storing facility,CA,US,2017-07-24,more than 300; nearly 200,200,,300,,,general protestors,Demand closure of Aliso Canyon gas fields,0,protest,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-porter-ranch-protest-20170724-story.html,http://www.dailynews.com/general-news/20170724/porter-ranch-protesters-urge-gov-jerry-brown-to-shut-aliso-down,http://abc7.com/news/porter-ranch-residents-protest-socal-gas-facility/2247770/,,,,
Vista,Outside Rep. Darrell Issa's office,CA,US,2017-07-25,more than 200,200,,200,,,general protestors,Oppose President Trump's polices,1,protest,0,0,0,0,1,1,http://www.sandiegouniontribune.com/communities/north-county/sd-no-issa-complaint-20170725-story.html,,,,,,
Washington,Senate visitor galleries; Hart Senate Office Building,DC,US,2017-07-25,hundreds,200,,200,,,ADAPT; National Council on Independent Living; clergy,Kill the Bill,1,protest,95,0,0,0,1,1,http://gazette.com/clergy-march-in-a-funeral-procession-to-protest-health-care-repeal/article/1607861,http://cnycentral.com/news/connect-to-congress/health-care-protesters-arrested-on-capitol-hill-07252017,http://www.kxly.com/news/politics/national-politics/senate-protesters-chant-kill-the-bill-interrupt-motion-to-proceed/592916539,,,,
Greenwich,outside Town Hall,CT,US,2017-07-26,some 200,200,,200,,,Abilis,Oppose state cuts to social services,0,protest,0,0,0,0,1,1,http://www.greenwichtime.com/local/article/Rally-draws-200-to-Greenwich-to-protest-social-11438668.php,http://www.stamfordadvocate.com/local/article/Rally-draws-200-to-Greenwich-to-protest-social-11438668.php,,,,,
San Francisco,Harvey Milk Plaza,CA,US,2017-07-26,between 200 and 300,200,,300,,,general protestors,Emergency Protest against Trump's Trans Ban,1,protest,0,0,0,0,1,1,http://sanfrancisco.cbslocal.com/2017/07/26/activists-hold-emergency-protest-against-trumps-ban-on-trans-service-members/,http://www.huffingtonpost.com/entry/donald-trump-transgender-military-ban-protest_us_5978f528e4b0da64e87616f9?gi&ncid=inblnkushpmg00000009,,,,,
Los Angeles,Santa Monica Boulevard,CA,US,2017-07-27,something like 200 to 250,200,,250,,,general protestors,Support vandalized street vendor; legalize street vending,0,rally,0,0,0,0,1,1,https://twitter.com/Walldo/status/890749551899951104,http://abc7.com/news/la-street-vendor-who-had-cart-overturned-given-$1k-at-rally/2257299/,,,,,
Medford,outside the Hilton Garden Inn,OR,US,2017-07-27,more than 200,200,,200,,,Oregon Nurses Association,Demand fair contract with Asante Rogue Regional Medical Center,0,rally,0,0,0,0,1,1,http://www.mailtribune.com/news/20170727/rrmc-nurses-rally-as-contract-talks-resume,,,,,,
New York,Brooklyn,NY,US,2017-07-27,hundreds,200,,200,,,general protestors,Against proposed housing development,0,protest,7,0,0,0,1,1,http://forward.com/news/378234/angry-brooklyn-protesters-disrupt-hearing-on-broadway-triangle-rezoning/,,,,,,
Washington,Outside senate building,DC,US,2017-07-27,a couple hundred,200,,200,,,Planned Parenthood,Against repealing the ACA,1,protest,0,0,0,0,1,1,https://twitter.com/benwikler/status/890748405353500673,http://thehill.com/policy/healthcare/344259-demonstrators-gather-outside-capitol-to-protest-gop-obamacare-repeal,,,,,
Anchorage,Town Square,AK,US,2017-07-29,about 200,200,,200,,,organizer Kokayi Nosakhere,Thank Sen. Murkowski for voting against GOP healthcare bill,1,rally,0,0,0,0,1,1,https://www.adn.com/slideshow/visual/photos/2017/07/29/after-healthcare-vote-alaskans-rally-around-their-senator/,http://www.ktuu.com/content/news/Alaskans-hold-437414353.html,,,,,
Asbury Park,from Club Paradise to Library Square Park,NJ,US,2017-07-29,hundreds,200,,200,,,Garden State Equality,Oppose Trump's transgender military ban,1,rally; march,0,0,0,0,1,1,http://www.app.com/story/news/local/communitychange/2017/07/29/asbury-park-rally-trump-transgender-military/520576001/,http://www.app.com/story/news/local/communitychange/2017/07/29/asbury-park-rally-trump-transgender-military/520576001/,,,,,
Cleveland,from East Tech High School to Public Square,OH,US,2017-07-29,hundreds,200,,200,,,Word Church,Casket Crusade to stop gun violence and drug abuse,0,march,0,0,0,0,1,1,http://fox8.com/2017/07/29/hundreds-march-in-solemn-casket-crusade-through-downtown-cleveland/,,,,,,
Manchester,Victory Park,NH,US,2017-07-29,hundreds,200,,200,,,Rights and Democracy,Protesting Trump's trans military ban,1,protest,0,0,0,0,1,1,http://www.wmur.com/article/video-of-boy-with-down-syndrome-singing-goes-viral/10382202,,,,,,
Northampton,Downtown,MA,US,2017-07-29,hundreds,200,,200,,,general protestors,Against repealing the ACA,1,protest,0,0,0,0,1,1,http://www.westernmassnews.com/story/36002777/hundreds-gather-in-northampton-to-protest-aca-repeal,,,,,,
Washington,Freedom Plaza,DC,US,2017-07-29,hundreds,200,,200,,,Our Lives on the Line,Rally & March to Protect Medicare & Medicaid,1,protest,0,0,0,0,1,1,http://wjla.com/news/local/in-face-of-trump-threats-obamacare-supporters-rally-in-dc,http://www.sandiegouniontribune.com/news/us-politics/sd-me-health-rallies-20170729-story.html,https://www.washingtonpost.com/local/social-issues/small-crowd-rallies-in-annapolis-in-support-of-the-affordable-care-act/2017/07/29/28ee2724-7477-11e7-8839-ec48ec4cae25_story.html?utm_term=.18faa5db068c,,,,
Royal Oak,"outside the public library, city hall",MI,US,2017-07-30,hundreds,200,,200,,,TG Detroit,Oppose Trump's transgender military ban,1,rally,0,0,0,0,1,1,https://www.metrotimes.com/news-hits/archives/2017/07/28/royal-oak-rally-to-support-transgender-troops-planned-for-sunday,http://www.theoaklandpress.com/general-news/20170730/residents-dignitaries-rally-in-support-of-transgender-troops-in-royal-oak,http://www.detroitnews.com/story/news/local/oakland-county/2017/07/30/hundreds-rally-trans-troops-royal-oak/523896001/,,,,
New York,725 5th Ave,NY,US,2017-07-04,Facebook: 174 went,174,,174,,,CAIR-NY,Pro-Muslim Rally,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1000813373355660,http://www.resistandprotest.com/event/inalienable-rights-broken-promise-equal-justice,,,,,
Augusta,Outside State House,ME,US,2017-07-01,about 150; more than 150,150,,150,,,Maine State Employees Association,Protesting ME government shutdown,0,protest,0,0,0,0,1,1,http://mainepublic.org/post/state-workers-protest-maine-government-shuts-down#stream/0,http://wgme.com/news/local/breaking-state-government-shuts-down,http://www.pressherald.com/2017/07/01/out-of-work-state-employees-rally-at-state-house/,,,,
Las Vegas,Las Vegas Federal Courthouse,NV,US,2017-07-02,Facebook: 150 went,150,,150,,,Our Revolution Nevada,Impeach Trump,1,march; protest,,,,,1,1,https://www.facebook.com/events/1811304489198206/,,,,,,
Philadelphia,Downtown,PA,US,2017-07-02,NA,150,,150,,,Montgomery County-based chapter of Indivisible; antifa,Impeach Trump,1,march; protest,3,0,1,1,1,1,http://www.philly.com/philly/news/politics/presidential/heavy-police-oversight-at-trump-impeachment-rally-pro-trump-march-20170702.html,https://www.facebook.com/ImpeachmentMarchPhilly/,http://www.phillyvoice.com/trump-supporter-shares-details-alleged-assault-philadelphia-march/,,,,
Sacramento,state Capitol,CA,US,2017-07-08,about 150,150,,150,,,supporters of President Donald Trump,Unite America First Peace Rally,2,rally,0,0,0,0,1,1,http://www.sacbee.com/news/local/article160306214.html,,,,,,
Lexington,in front of Bryant’s Rent-All,KY,US,2017-07-12,approximately 150,150,,150,,,general protestors,Oppose ACA repeal and VP Pence,1,protest,0,0,0,0,1,1,http://www.kentucky.com/news/politics-government/article161047129.html,http://www.kentucky.com/news/politics-government/article161035784.html,http://www.courier-journal.com/story/news/politics/2017/07/12/voters-protest-pences-visit-lexington-slam-obamacare-repeal-effort/471702001/,,,,
Philadelphia,Thomas Paine Plaza,PA,US,2017-07-15,Facebook: 150 going,150,,150,,,Refuse Fascism; PA ADAPT; Black Lives Matter Movement Pennsylvania Chapter; Impeachment March Philly,The Trump/Pence Regime Must Go!,1,march,0,0,0,0,1,1,http://www.phillyvoice.com/trumppence-regime-must-go-protest-planned-philly-weekend/,,,,,,
St. Louis,Outside St. Louis Medium Security Institution,MO,US,2017-07-21,nearly 200; about 150,150,,200,,,general protestors,Oppose poor jail conditions; call for closure,0,protest,1,0,0,0,1,1,http://www.kmov.com/story/35945099/riot-police-dispatched-to-break-up-workhouse-protest-crowd,http://www.nydailynews.com/news/national/protesters-st-louis-jail-lack-air-conditioning-article-1.3348565,http://www.kmov.com/story/35945099/riot-police-dispatched-to-break-up-workhouse-protest-crowd,,,,
Tallahassee,Lake Ella,FL,US,2017-07-22,about 150,150,,150,,,Democratic Club of North Florida,annual summer picnic and political rally,1,rally,0,0,0,0,1,1,http://www.tallahassee.com/story/news/2017/07/22/ribs-and-wings-heaping-politics/502200001/,,,,,,
Woodstock,from Woodstock Historic Square to Dick Tracy Way Park,IL,US,2017-07-22,about 150,150,,150,,,organizer Cathy Johnson of the Democratic Party of McHenry County,Woodstock Women’s March,1,march,0,0,0,0,1,1,http://www.nwherald.com/2017/07/23/womens-march-six-month-anniversary-march-held-in-woodstock/a6sv7q0/,http://www.nwherald.com/2017/07/20/womens-march-planned-in-woodstock-to-highlight-issues-energize-voters/a6v0zcu/,,,,,
Louisville,Snyder U.S. Courthouse,KY,US,2017-07-24,estimated 150 to 200,150,,200,,,Operation Save America,Oppose protest buffer zone around last remaining abortion clinic in KY,2,protest,0,0,0,0,1,1,http://www.courier-journal.com/story/news/local/2017/07/24/operation-save-america-begins-weeklong-abortion-protest-louisville/499502001/,http://www.courier-journal.com/picture-gallery/news/local/2017/07/24/praying-shouting--more-scenes-from-louisville-abortion-protest/103949226/,,,,,
Reno,in front of the federal courthouse building,NV,US,2017-07-29,NA,150,,200,,,Our Lives on the Line; Action Together Nevada; Progressive Leadership Alliance of Nevada Action Fund,Oppose GOP healthcare plan,1,rally,0,0,0,0,1,1,http://www.rgj.com/story/news/2017/07/29/reno-obamacare-rally-we-fighting-all/522717001/,,,,,,
Peoria,Peoria City Hall,IL,US,2017-07-02,Facebook: 137 went,137,,137,,,general protestors,Impeach Trump,1,,,,,,1,1,https://www.facebook.com/events/1549449061734997/,,,,,,
Milwaukee,Milwaukee County Courthouse,WI,US,2017-07-02,Facebook: 134 went,134,,134,,,general protestors,Impeach Trump,1,march,,,,,1,1,https://www.facebook.com/events/665789573622890/,,,,,,
Washington,White House,DC,US,2017-07-11,Facebook: 130 went,130,,130,,,MoveOn,Calls to impeach Trump,1,protest,0,0,0,0,1,1,http://www.breitbart.com/big-government/2017/07/11/soros-funded-protest-at-white-house-demands-prosecution-for-donald-trump-jr/,https://www.facebook.com/events/154745278418179/,,,,,
Buffalo,Lafayett Square,NY,US,2017-07-02,about 125,125,,125,,,general protestors,Impeach Trump,1,march; protest,,,,,1,1,https://www.facebook.com/events/328121617637663,http://buffalonews.com/2017/07/02/impeachment-march-lafayette-square-calls-trump-removal/,,,,,
Washington,Outside DeVos' office,DC,US,2017-07-13,about 120,120,,120,,,survivors of campus sexual assault,Protesting DeVos' ideas for handling rape on college campuses,1,protest,0,0,0,0,0,1,https://www.glamour.com/story/campus-sexual-assault-survivors-protest-betsy-devos-office,,,,,,
Bloomington,from Rose Hill Cemetery to Monroe County Courthouse,IN,US,2017-07-24,nearly 120,120,,120,,,Democracy for Monroe Count,Medicare for All March,1,march,,,,,1,1,http://www.journalgazette.net/blog/political-notebook/20170720/medicare-for-all-rally-planned-downtown,,,,,,
Austin,marched from Wooldridge Square Park to state capitol,TX,US,2017-07-01,several hundred; hundreds; more than 100,100,,200,,,Texans United for America; Open Carry Texas,1776 Freedom March in support of President Donald Trump,2,rally; march,0,0,0,0,1,1,http://www.mystatesman.com/news/local/hundreds-join-pro-trump-march-capitol/mNRLrmL1kazIdF7r0qqFYI/,http://www.brownsvilleherald.com/news/texas/article_c8819b14-ff85-5573-94bf-35da3daf71db.html,https://www.facebook.com/events/275336242927995/,http://www.kvue.com/news/local/trump-supporters-hold-freedom-rally-downtown/453600051,,,
San Luis Obispo,Mission Plaza,CA,US,2017-07-01,well over 100,100,,100,,,U.S. Rep. Salud Carbajal; retired Congresswoman Lois Capps; San Luis Obispo Mayor Heidi Harmon,Support protection of Carrizo Plain National Monument,1,rally,0,0,0,0,1,1,http://www.sanluisobispo.com/news/local/environment/article159272539.html,,,,,,
Ann Arbor,,MI,US,2017-07-02,NA,100,,150,,,general protestors,Impeach Trump,1,march; protest,,,,,1,1,https://www.facebook.com/events/633584186832300/,http://www.freep.com/story/news/local/michigan/detroit/2017/07/02/detroit-donald-trump-impeachment/446596001/,,,,,
Palm Beach,from the clock tower at Worth Avenue to Mar-a-Lago,FL,US,2017-07-02,About 100,100,,100,,,United Against Trump Pence; Pop Up Protest South Florida,Impeach Trump,1,protest,0,0,0,0,1,1,http://www.palmbeachpost.com/news/local/the-gates-mar-lago-protesters-demand-trump-impeachment/tne5HPIpNXjXISvHDD9i3H/,http://www.wptv.com/news/region-c-palm-beach-county/palm-beach/anti-trump-pro-trump-supporters-demonstrate-near-mar-a-lago,http://www.palmbeachdailynews.com/news/local/the-gates-mar-lago-protesters-demand-trump-impeachment/tne5HPIpNXjXISvHDD9i3H/,,,,
Seattle,Seattle Center,WA,US,2017-07-02,somewhere between 100 and 150; Hundreds,100,,200,,,general protestors,Impeach Trump,1,march,0,0,0,0,1,1,http://katu.com/news/local/plans-for-impeachment-march-in-portland-canceled,http://www.king5.com/news/local/seattle/signs-of-a-resistance-burnout-at-impeachment-march-seattle/453754344,https://www.facebook.com/events/309964926102002/,http://q13fox.com/2017/07/02/seattleites-join-thousands-across-the-u-s-calling-for-trump-impeachment/,http://www.resistandprotest.com/event/impeachment-march-seattle,,
Augusta,Outside State House,ME,US,2017-07-03,more than 100; more than 105,100,,150,,,Maine State Employees Association,Protesting ME government shutdown,0,protest,0,0,0,0,1,1,http://wgme.com/news/local/do-your-job-demonstrators-rally-in-august-urge-lawmakers-to-pass-budget,http://www.pressherald.com/2017/07/03/employees-march-to-state-house-demand-end-to-shutdown/,,,,,
McKinney,Town hall meeting,TX,US,2017-07-05,100 or so,100,,100,,,general protestors,Heckling Sen. Cruz at a town hall meeting - mostly about healthcare,1,rally;protest,0,0,0,0,1,1,http://www.fox4news.com/news/265935580-story,,,,,,
Nashville,outside of Nashville City Hall,TN,US,2017-07-06,NA,100,,200,,,Tennessee Immigrant and Refugee Rights Coalition,Support local pro-immigrant bill,1,protest,0,0,0,0,0,1,http://www.wsmv.com/story/35832065/local-immigrants-hold-silent-protest-outside-nashville-city-hall,,,Count from picture,,,
Williamstown,Williamstown Bridge,WV,US,2017-07-06,about 100,100,,100,,,WV Citizens Action Group; WV Young Democrats; Wood County Indivisible; Next Wave Democrats,Oppose ACA repeal,1,march,0,0,0,0,1,1,http://www.newsandsentinel.com/news/local-news/2017/07/health-care-rally-takes-to-williamstown-bridge/,,,,,,
Dexter Township,YMCA's Camp Birkett along Silver Lak,MI,US,2017-07-07,more than 100,100,,100,,,local residents,Oppose construction of Rover gas pipeline,0,protest; march,0,0,0,0,1,1,http://www.mlive.com/news/ann-arbor/index.ssf/2017/07/100_protesters_march_against_r.html,,,,,,
Lincoln,outside Sen. Basse's office,NE,US,2017-07-08,nearly a hundred,100,,100,,,general protestors,Oppose ACA repeal,1,protest,,,,,1,1,http://journalstar.com/news/local/govt-and-politics/timeline-protests-rallies-and-marches-in-lincoln/collection_21859300-abed-5b3b-aaf8-b0fed95f0bd0.html,,,,,,
Northampton,Bridge Street School through downtown to Pulaski Park,MA,US,2017-07-08,more than 100,100,,100,,,Students Against Sexual Harassment,Oppose national culture permissive of sexual harassment,1,march,0,0,0,0,1,1,http://www.masslive.com/news/index.ssf/2017/07/northampton_students_march_aga.html,,,,,,
Denver,outside state capitol,CO,US,2017-07-09,more than 100,100,,100,,,Colorado Consumer Health Initiative; Sen. Michael Bennet; Shorter Community AME Church,Rally for Health Care,1,rally,0,0,0,0,1,1,http://www.denverpost.com/2017/07/09/health-care-protesters-colorado-capitol/,,,,,,
Louisville,Big Four Bridge,KY,US,2017-07-10,"Roughly 250 people came to Friday's rally, with more than 100 from the Kentucky group alone",100,,100,,,"Indivisible Kentucky; SoINdivisible, Southern Indiana Indivisible",Oppose ACA repeal,1,march,0,0,0,0,1,1,http://www.courier-journal.com/story/news/2017/07/07/rally/460671001/,,,Also people started in Jeffersonville,,,
Washington,"Capitol Hill, senator's offices",DC,US,2017-07-10,over 100,100,,100,,,Housing Works; Center for Popular Democracy; People’s Action; Rights & Democracy Vermont; Arizona-based LUCHA,Protest GOP healthcare bill,1,protest; sit-in,80,0,0,0,1,1,http://kneb.com/abc_health/kill-the-bill-dont-kill-me-health-care-protesters-descend-on-capitol-hill-abcid35938568/,http://abcnews.go.com/Politics/kill-bill-kill-health-care-protesters-descend-capitol/story?id=48555699,http://www.washingtonexaminer.com/police-arrest-80-people-in-organized-senate-healthcare-bill-protest-on-capitol-hill/article/2628227,http://www.clickondetroit.com/news/politics/health-care-protests-erupt-at-gop-senators-offices,,,
Grand Rapids,Crescent Park,MI,US,2017-07-11,more than 100,100,,100,,,general protestors,Against GOP healthcare bill,1,protest,0,0,0,0,1,1,http://www.mlive.com/news/grand-rapids/index.ssf/2017/07/more_than_a_hundred_gather_wit.html,,,,,,
Philedalphia,downtown,PA,US,2017-07-12,about 100,100,,100,,,general protestors,rally against violence,0,rally,0,0,0,0,1,1,http://6abc.com/news/residents-rally-to-stop-the-violence-in-frankford/2210807/,,,,,,
Towson,Patriot Plaza,MD,US,2017-07-12,NA,100,,200,,,Khizr Khan; Amigos of Baltimore County; Baltimore County NAACP; Greater Baltimore Muslim Council; Islamic Society of Baltimore; Baltimore Jewish Council,A Call for Unity rally,1,rally,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/baltimore-county/cockeysville/bs-md-co-kamenetz-unity-rally-20170710-story.html,http://baltimore.cbslocal.com/2017/07/12/call-for-unity-rally/,,Estimate from video,,,
Belle Plaine,Veterans Memorial Park,MN,US,2017-07-15,more than 100; more than 150,100,,150,,,America Needs Fatima,Protest planned installation of satanic monument,0,protest,0,0,0,0,1,1,http://www.startribune.com/satanic-monument-in-belle-plaine-prompts-protest-support/434357263/,http://minnesota.cbslocal.com/2017/07/15/belle-plaine-satanic-protest/,http://www.startribune.com/with-dueling-rallies-looming-statue-featuring-cross-removed-from-belle-plaine-park/434672183/,,,,
Indianapolis,in front of the Indiana Statehouse,IN,US,2017-07-15,about 200; more than 100; hundreds,100,,200,,,Don't Sleep; Indy Pride; IndyCAN; Indy10 Black Lives Matter Indianapolis,We Demand Justice! rally for police shooting of Aaron Bailey,0,rally,0,0,0,0,1,1,http://wishtv.com/2017/07/15/hundreds-gather-for-rally-in-support-of-aaron-bailey/,http://www.indystar.com/story/news/local/2017/07/15/rally-aaron-bailey-gathering-indiana-statehouse/469013001/,http://www.indystar.com/picture-gallery/news/2017/07/15/we-demand-justice-rally-for-aaron-bailey/103720372/,,,,
Los Angeles,Hollywood Walk of Fame,CA,US,2017-07-15,about 100,100,,100,,,Refuse Fascism LA,Trump-Pence Regime must Go,1,protest,2,1,0,0,1,1,http://www.dailynews.com/general-news/20170712/protesters-plan-dueling-rallies-at-trumps-hollywood-star,http://www.mercurynews.com/2017/07/13/protesters-plan-dueling-rallies-at-trumps-hollywood-star/,http://www.latimes.com/local/lanow/la-me-hollywood-trump-protest-20170715-story.html,,,,
Providence,Outside RI Convention Center,RI,US,2017-07-15,more than 100,100,,100,,,Climate Action RI,Demanding more aggressive climate change policy,1,protest,0,0,0,0,1,1,http://ripr.org/post/ri-environmental-activists-rally-more-aggressive-climate-action-during-nga-meeting#stream/0,http://www.providencejournal.com/news/20170715/national-governors-association-notebook-sharing-laughs-clam-bake-and-one-final-protest,,,,,
Spring Lake,Seven Steps Up,MI,US,2017-07-16,more than 100,100,,100,,,Dr. Rob Davidson (D-Spring Lake),Campaign rally to unseat Congressman Bill Huizenga,1,rally,0,0,0,0,1,1,http://www.hollandsentinel.com/news/20170717/physician-looking-to-replace-huizenga-hosts-campaign-rally,http://www.grandhaventribune.com/Politics/2017/07/20/Spring-Lake-s-Davidson-kicks-off-campaign-for-Congress.html?ci=stream&lp=5&p=1,,,,,
St. Paul,from Grand Avenue to the mayor’s home on the West Side,MN,US,2017-07-16,just over 100,100,,100,,,Twin Cities Coalition for Justice for Jamar,Resist Police Terror,0,march,0,0,0,1,1,1,http://www.twincities.com/2017/07/17/threats-and-assault-reported-as-protesters-march-on-st-paul-mayors-house/,,,,,,
Boston,MBTA headquarters,MA,US,2017-07-17,about 100,100,,100,,,MTBA workers,against privitization of jobs,0,protest,0,0,0,0,1,1,http://www.patriotledger.com/news/20170717/mbta-workers-rally-against-proposed-privatization-of-jobs,,,,,,
Fife,Port of Tacoma,WA,US,2017-07-17,about 100,100,,100,,,general protesting,Protesting pipeline construction,0,protest,0,0,0,0,1,1,http://komonews.com/news/local/pipeline-protest-disrupts-work-at-port-of-tacoma,,,,,,
White Plains,outside of the county office building,NY,US,2017-07-17,roughly 100,100,,100,,,general protestors,Oppose County Executive Rob Astorino’s plan to privatize Westchester County Airport,0,rally,0,0,0,0,1,1,http://www.lohud.com/story/money/personal-finance/taxes/david-mckay-wilson/2017/07/17/rally-against-airport-deal-set-monday-night-white-plains/484346001/,http://westchester.news12.com/story/35904469/opponents-to-rally-against-privatization-of-wc-airport,,,,,
Riverton,from Rotary Park to City Park,WY,US,2017-07-18,about 100,100,,100,,,organizer Ron Howard,third annual peace march on the second anniversaty of a deadly shooting,0,march,0,0,0,0,1,1,https://dailyranger.com/story.php?story_id=28739&headline=riverton-hosts-third-march-after-detox-shooting,https://dailyranger.com/story.php?story_id=28768,,,,,
Denver,from the state Capitol to circle the Hyatt Regency,CO,US,2017-07-19,more than 100; several hundred,100,,200,,,Colorado Education Association,Oppose Sec. DeVos's visit and policies,1,march; protest,0,0,0,0,1,1,http://www.denverpost.com/2017/07/17/colorado-educators-plan-protest-against-education-secretary-betsy-devos/,http://www.thedenverchannel.com/news/local-news/educators-and-others-protest-betsy-devos-upcoming-speech-at-denver-conservative-conference,http://www.denverpost.com/2017/07/19/hundreds-gather-colorado-statehouse-protest-betsy-devos-her-denver-appearance-alec/,,,,
Genesee County,downtown,MI,US,2017-07-22,more than 100,100,,100,,,general protestors,Against repealing the ACA,1,protest,0,0,0,0,1,1,http://www.wnem.com/story/35952941/rally-aims-to-drum-up-support-for-affordable-healthcare,,,,,,
Middletown,Ebenezer Pentecostal Church,NY,US,2017-07-22,about 100,100,,100,,,Greater Middletown Interfaith Council; Caring for Our Neighbors Coalition,God’s Executive Order Rally in support of immigrants,1,rally,0,0,0,0,1,1,http://www.recordonline.com/news/20170722/speakers-strike-chord-at-immigration-rally-in-middletown,http://www.midhudsonnews.com/News/2017/July/24/immigration_rally-24Jul17.html,,,,,
St. Louis,Outside city jail,MO,US,2017-07-22,around 100,100,,100,,,general protestors,Protesting lack of AC in jail as inhumane,0,protest,2,0,0,0,1,1,http://www.nydailynews.com/news/national/protesters-st-louis-jail-lack-air-conditioning-article-1.3348565,https://www.indybay.org/newsitems/2017/08/01/18801205.php,,"arrest (2) is est from ""few""",,,
Salt Lake City,Downtown,UT,US,2017-07-25,about 100,100,,100,,,general protestors,Against repealing the ACA,1,protest,0,0,0,0,1,1,http://kutv.com/news/local/around-100-rally-in-downtown-slc-to-protest-senate-gop-move-on-health-care,,,,,,
Amherst,UMass Amherst,MA,US,2017-07-26,more than 100,100,,100,,,attendees at the 42nd Northeast School for Women in Unions and Worker Organizations leadership institute,Support UMass University Staff Association contract fight,0,protest,0,0,0,0,1,1,http://www.masslive.com/news/index.ssf/2017/07/campus_visitors_rally_to_suppo.html,,,,,,
Indianapolis,Sutherland Park Cemetary,IN,US,2017-07-26,more than 100; hundreds,100,,200,,,Concerned Clergy,Stop the violence rally,0,rally,0,0,0,0,1,1,http://www.indystar.com/story/news/2017/07/26/funeral-shooting-sparks-peace-rally-local-faith-leaders/514781001/,http://fox59.com/2017/07/26/faith-leaders-schedule-clergy-and-community-response-to-violence/,,,,,
