CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Richmond,Grace Street,VA,US,2017-07-16,more than 700,700,,700,,,Democratic Unity Opposition Coalition,symbolic plebiscite against the Venezuelan president,0,demonstration,0,0,0,0,1,1,http://wtvr.com/2017/07/16/venezuelans-turn-out-for-opposition-plebiscite-vote-richmond-grace-street/,,,,,,
Winekta,Downtown,IL,US,2017-07-25,about 600,600,,600,,,general protestors,Protesting cuts to daycare assistance,0,protest,0,0,0,0,1,1,http://chicago.suntimes.com/chicago-politics/hundreds-take-to-the-streets-of-winnetka-to-protest-daycare-cuts/,,,,,,
Grapevine,Dallas-Fort Worth Airport,TX,US,2017-07-26,estimated 600,600,,600,,,Transport Workers Union,Demand American Airlines provide higher pay and stop shifting maintenance work overseas,0,protest,0,0,0,0,1,1,http://abcnews.go.com/Business/wireStory/american-airlines-workers-protest-pay-outsourcing-48866799,http://lufkindailynews.com/news/state/article_4481bf28-f1c2-5cdc-8c60-49a3a86de43c.html,,,,,
New Orleans,Duncan Plaza,LA,US,2017-07-02,Facebook: 529 went,529,,529,,,general protestors,Impeach Trump,1,march,,,,,1,1,https://www.facebook.com/events/830504833780952/,,,,,,
Washington,Outside Department of Justice,DC,US,2017-07-15,approximately 500,500,,500,,,Women's March,Protesting NRA,1,rally,0,0,0,0,1,1,http://www.wgrz.com/news/womens-march-organizers-take-on-nra-in-next-march/454799654,http://www.kens5.com/news/local/womens-march-organizers-take-on-nra-in-next-march/455163231,https://the-journal.com/articles/56953-nra-protest-moves-to-justice-dept-and-a-bit-of-common-ground-emerges,,,,
Tunkhannock,,PA,US,2017-07-20,about 500,500,,500,,,local Republican Party officials,Support proposed Atlantic Sunrise natural gas pipeline,2,rally,0,0,0,0,1,1,http://citizensvoice.com/news/gas-company-rallies-support-for-atlantic-sunrise-project-1.2221329,http://thetimes-tribune.com/news/williams-rallies-region-for-sunrise-project-1.2221424,,,,,
New York City,in front of the U.S. Army Career Center in Times Square,NY,US,2017-07-26,more than 500,500,,500,,,Equality NY,Oppose Trump's transgender military ban,1,protest,0,0,0,0,0,1,http://nypost.com/2017/07/26/hundreds-protest-trumps-ban-on-transgender-troops/,http://www.huffingtonpost.com/entry/donald-trump-transgender-military-ban-protest_us_5978f528e4b0da64e87616f9?gi&ncid=inblnkushpmg00000009,http://www.10news.com/news/new-yorkers-protest-president-trumps-transgender-military-ban#id0,,,,
Los Angeles,UCLA Medical Center,CA,US,2017-07-28,about 500,500,,500,,,AFSCME 3299; UC Graduate Students Association,Oppose treatment of contracted valet workers,0,protest,0,0,0,0,1,1,http://dailybruin.com/2017/07/31/uc-employees-students-protest-in-support-of-contracted-valet-workers/,,,,,,
Cleveland,Willard Park,OH,US,2017-07-02,Facebook: 456 went,456,,456,,,general protestors,Impeach Trump,1,march; protest,,,,,1,1,https://www.facebook.com/events/1781758902137599/,,,,,,
Sacramento,California State Capitol,CA,US,2017-07-02,Facebook: 454 went,454,,454,,,general protestors,Impeach Trump,1,,,,,,1,1,https://www.facebook.com/events/460950657630217/,,,,,,
Orange County,Sasscer Park,CA,US,2017-07-02,Facebook: 426 went,426,,426,,,general protestors,Impeach Trump,1,,,,,,1,1,https://www.facebook.com/events/419984045039077/,,,,,,
Austin,State Capitol,TX,US,2017-07-17,more than 350,350,,350,,,general protestors,Denounce current Republican proposals to state issues,0,protest,0,0,0,0,1,1,http://www.statesman.com/news/happening-today-rally-capitol-steps-denounce-abbott-patrick-legislative-agenda/UZUnXBwPS3Xh2zO5iK2NuM/,,,,,,
Santa Ana,Sasscer Park,CA,US,2017-07-02,More than 300,300,,300,,,general protestors,Impeach Trump,1,protest; march,0,0,0,0,1,1,http://www.ocregister.com/2017/07/02/protesters-rally-in-santa-ana-other-u-s-cities-to-impeach-trump/,,,,,,
Painesville,downtown,OH,US,2017-07-27,about 300,300,,300,,,HOLA Ohio,Oppose imminent deportation of an undocumented Mexican woman,1,protest,0,0,0,0,1,1,http://www.news-herald.com/general-news/20170727/hundreds-gather-in-painesville-to-protest-latinas-imminent-deportation,,,,,,
Hartford,State Capitol,CT,US,2017-07-29,about 300,300,,300,,,Save Our Care CT,Oppose repealing the ACA,1,rally,0,0,0,0,1,1,http://www.washingtontimes.com/news/2017/jul/29/health-care-rally-planned-at-connecticut-state-cap/,http://fox61.com/2017/07/29/opponents-of-health-care-law-repeal-rally-at-state-capitol/,http://www.myrecordjournal.com/news/latestnews/10655211-154/health-care-rally-planned-at-connecticut-state-capitol.html,,,,
New York,Central Park West and Columbus Circle across from Trump International Hotel,NY,US,2017-07-02,NA,250,,300,,,general protestors,Impeach Trump,1,march; protest,0,0,0,0,1,1,http://newyork.cbslocal.com/2017/07/02/trump-impeachment-protest/,http://newyork.cbslocal.com/2017/07/02/trump-impeachment-protest/,,,,,
Champaign,,IL,US,2017-07-04,about 250,250,,250,,,ACLU; C-U Immigration Forum,Support immigration rights,1,march,0,0,0,0,1,1,http://foxillinois.com/news/local/immigration-advocates-march-in-4th-of-july-parade,,,,,,
Northampton,,MA,US,2017-07-11,nearly 250,250,,250,,,general protestors,Oppose deportation of local Iraqi resident,1,rally,0,0,0,0,1,1,http://wwlp.com/2017/07/11/250-rally-in-northampton-to-support-removal-of-deportation/,,,,,,
Newcomerstown,David Barber Civic Center,OH,US,2017-07-22,more than 250,250,,250,,,Tuscarawas County Anti-Drug Coalition; Newcomerstown Community Action Network,Second Annual Tuscarawas United Addiction Awareness Rally,0,rally,0,0,0,0,1,1,http://daily-jeff.com/local%20news/2017/07/24/addiction-awareness-rally-in-newcomerstown-addresses-serious-problem,http://daily-jeff.com/local%20news/2017/07/21/addiction-awareness-rally-planned-july-22,http://www.timesreporter.com/news/20170722/addiction-awareness-rally-addresses-serious-problem,,,,
Washington,Lafayette Square,DC,US,2017-07-04,Facebook: 247 went,247,,247,,,reSisters,Impeach Trump,1,protest; rally; flashmob,0,0,0,0,1,1,https://www.facebook.com/events/699746660232145,http://www.resistandprotest.com/event/july-4th-white-house-flash-mob,,,,,
Austin,Downtown,TX,US,2017-07-02,hundreds,200,,200,,,general protestors,Impeach Trump,1,march; protest,0,0,0,0,1,1,http://www.statesman.com/news/impeachment-march-tense-exchanges-anti-trump-rally-but-arrests/vuX5JBAgSR7JhqE1qbpEyH/,http://www.statesman.com/news/impeachment-march-tense-exchanges-anti-trump-rally-but-arrests/vuX5JBAgSR7JhqE1qbpEyH/,,,,,
Denver,Civic Center Park,CO,US,2017-07-02,about 200,200,,200,,,Rock Island County Indivisible,Impeach Trump,1,march,0,0,0,0,1,1,http://www.thedenverchannel.com/news/politics/impeachment-march-denver-hundreds-to-protest-trump-as-4th-of-july-nears,,,,,,
Los Angeles,from Pershing Square to City Hall,CA,US,2017-07-02,thousands; hundreds,200,,2000,,,general protestors,Impeach Trump,1,march; protest,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-impeachment-march-20170702-story.html,https://www.facebook.com/events/1981311842088671/​,http://www.nbclosangeles.com/news/local/Thousands-Gather-in-Downtown-Los-Angeles-Calling-for-Impeachment-of-President-Trump-432164663.html,http://www.dailynews.com/general-news/20170702/trump-impeachment-march-takes-over-pershing-square-in-la,,,
San Francisco,Justin Herman Plaza to Fisherman’s Wharf,CA,US,2017-07-02,Facebook: 1100 went; thousands; several hundred,200,,2000,,,Indivisible; TWW; Alameda4Impeachment; Progressive Democrats of America,Impeachment March,1,march; protest,0,0,0,0,1,1,https://www.facebook.com/events/326281611125129/,http://www.mysanantonio.com/bayarea/article/Thousands-march-in-S-F-to-call-for-impeachment-11262489.php,http://www.mysanantonio.com/bayarea/article/Thousands-march-in-S-F-to-call-for-impeachment-11262489.php,,,,
Baltimore,from the Baltimore Convention Center to the G.H. Fallon Federal Building,MD,US,2017-07-03,hundreds,200,,200,,,United Church of Christ; CASA; Annapolis Sanctuary Network,Support local man detained by ICE,1,march; protest,0,0,0,0,1,1,http://www.capitalgazette.com/news/ph-ac-cn-immigration-rally-0704-20170703-story.html,http://www.capitalgazette.com/news/ph-ac-cn-immigration-rally-0704-20170703-story.html,,,,,
Chicago,Outside a federal courthouse,IL,US,2017-07-03,hundreds,200,,200,,,"students, professors and concerned strangers",Demand justice for victim in a kidnapping case,0,rally,0,0,0,0,1,1,http://host.madison.com/wsj/news/local/courts/hundreds-protest-as-former-uw-madison-student-has-hearing-in/article_738f5ef9-747e-52ab-92a4-da2ce93bc68b.html,http://wtvr.com/2017/07/03/missing-student-vigil/,,,,,
Torrance,outside Harbor-UCLA Medical Center,CA,US,2017-07-03,more than 200; hundreds,200,,200,,,Sen. Kamala Harris; Harbor Area Rep. Nanette Barragan; L.A. County Supervisor Mark Ridley-Thomas; representatives from South Bay Rep. Ted Lieu’s office; L.A. Councilman Joe Buscaino; Torrance Mayor Pat Furey; Lawndale Mayor Robert Pullen-Miles; physicians and nurses from Harbor-UCLA Medical Center; hundreds of healthcare workers and union members,Oppose ACA repeal,1,rally,0,0,0,0,1,1,http://www.pasadenastarnews.com/general-news/20170703/sen-kamala-harris-leads-rally-against-gop-healthcare-bill-at-harbor-ucla-medical-center,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-sen-kamala-harris-goes-after-president-1499118802-htmlstory.html,http://www.presstelegram.com/general-news/20170703/sen-kamala-harris-leads-rally-against-gop-healthcare-bill-at-harbor-ucla-medical-center,,,,
Columbus,,OH,US,2017-07-05,hundreds; several hundred,200,,200,,,CareSource,Support Gov. Kasich's veto of state Medicaid freeze,1,rally,0,0,0,0,0,1,http://www.mydaytondailynews.com/business/hundreds-rally-statehouse-support-kasich-veto-medicaid/5S908hhMGvo1LbZfK9XXZI/,http://www.journal-news.com/news/gen-politics/here-who-applied-grow-marijuana-ohio-hundreds-rally-support-kasich-veto-ohio-politics-today/ySb62NKWox5nWihF0gipdN/,http://www.springfieldnewssun.com/news/gen-politics/here-who-applied-grow-marijuana-ohio-hundreds-rally-support-kasich-veto-ohio-politics-today/ySb62NKWox5nWihF0gipdN/,,,,
Denver,"Senator Gardner's office, downtown",CO,US,2017-07-05,hundreds,200,,200,,,general protestors,Against GOP healthcare bill,1,rally,0,0,0,0,1,1,http://www.resistandprotest.com/event/rally-protect-health-care-denver-co,https://www.facebook.com/events/332109860551487/?acontext=%7B%22source%22%3A5%2C%22page_id_source%22%3A539764026148050%2C%22action_history%22%3A%5B%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22main_list%22%2C%22extra_data%22%3A%22%7B%5C%22page_id%5C%22%3A539764026148050%2C%5C%22tour_id%5C%22%3Anull%7D%22%7D%5D%2C%22has_source%22%3Atrue%7D,http://abcnews.go.com/Politics/protesters-opposing-gop-health-care-bill-descend-lawmakers/story?id=48491443,,,,
San Antonio,from the Alamo to the Public Safety Headquarters,TX,US,2017-07-05,hundreds,200,,200,,,War Affected Minds,Back The Blue march to honor SAPD Officers,0,march,0,0,0,0,1,1,http://www.kens5.com/news/local/back-the-blue-march-to-honor-sapd-officers/454285323,http://www.kens5.com/news/local/back-the-blue-march-downtown-honors-fallen-police-officers/454521226,,,,,
Denver,from Skyline Park to 16th St. Mall,CO,US,2017-07-06,several hundred,200,,200,,,ADAPT,Save Medicaid Rally,1,rally; march,0,0,0,0,0,1,http://www.denverpost.com/2017/07/07/cory-gardner-protesters-cited-sit-in/,,,,,,
Savannah,Ellis Square to City Hall,GA,US,2017-07-06,around two hundred,200,,200,,,general protestors,Honor memory of Scott Waldrup; march against deadly violence,0,march,0,0,0,0,1,1,http://wsav.com/2017/07/06/scores-march-on-savannah-city-hall-following-deadly-downtown-violence/,http://www.islandpacket.com/news/local/crime/article159915514.html,,,,,
Cincinnati,Findlay Playground,OH,US,2017-07-08,several hundred,200,,200,,,Countdown to Conviction Coalition: Black Lives Matter; Democratic Socialists of America; Cincinnati NAACP branch; Cincinnati Socialist Students; Cincinnati Socialist Alternative; McMicken FreeSpace; Students for Survivors.,"""Rally & Street Action"" against second Ray Tensing mistrial",1,rally; march,0,0,0,0,1,1,http://www.cincinnati.com/story/news/2017/07/07/plans-set-saturday-night-dubose-rally-otr/459194001/,,,,,,
Bangor,Waterfront,ME,US,2017-07-09,estimated 200,200,,200,,,Penobscot tribal members,Protesting court decision limiting tribe's land,0,protest,0,0,0,0,1,1,https://bangordailynews.com/2017/07/10/news/state/penobscot-nation-allies-protest-federal-ruling-on-river-rights/,,,,,,
Covington,Northern Kentucky Convention Center,KY,US,2017-07-09,NA,200,,500,,,Sen. Bernie Sanders,Care Not Cuts,1,rally,0,0,0,0,1,1,http://www.washingtonexaminer.com/bernie-sanders-plans-rallies-in-red-states-to-oppose-senate-gop-healthcare-proposal/article/2627841,http://www.courier-journal.com/story/news/politics/2017/07/07/bernie-sanders-plans-kentucky-rally-against-health-care-bill-mcconnell-fights-votes/458910001/,http://www.mynbc5.com/article/sen-bernie-sanders-holds-healthcare-rally-in-kentucky/10283896,Esimate from video,,,
Memphis,Church Park to City Hall,TN,US,2017-07-09,more than 200,200,,200,,,general protestors,Demand city provide community-directed resources,0,march,0,0,0,0,1,1,http://www.commercialappeal.com/story/news/2017/07/10/march-seeks-save-children-anniversary-bridge-shutdown/461127001/,http://www.commercialappeal.com/picture-gallery/news/local/2017/07/09/youth-march-in-memphis-to-improve-their-future/103566056/,,,,,
Morgantown,Morgantown Event Center,WV,US,2017-07-09,NA,200,,500,,,Sen. Bernie Sanders; Mountaineers for Progress,Care Not Cuts,1,rally,0,0,0,0,1,1,http://www.washingtonexaminer.com/bernie-sanders-plans-rallies-in-red-states-to-oppose-senate-gop-healthcare-proposal/article/2627841,http://www.dominionpost.com/Sanders-to-host-health-care-rall,http://www.dominionpost.com/Sen--Sanders-slams-GOP-health-ca,Estimate from pictures,,,
Jerome,Jerome County Courthouse,ID,US,2017-07-10,hundreds,200,,200,,,general protestors,protesting plan to turn jailhouse into holding cell for ICE,1,protest,0,0,0,0,1,1,http://www.idahostatesman.com/news/state/idaho/article160685044.html,http://www.idahostatejournal.com/news/state/hundreds-protest-immigration-detention-contract-in-idaho/article_32c526af-3ba6-52c6-b64b-604b53c0acc2.html,http://elkodaily.com/news/state-and-regional/hundreds-protest-plan-to-detain-immigrants-in-idaho-jail/article_0a7fd74c-f411-532a-8a70-7ee289cfd8e8.html,,,,
Murfreesboro,Islamic Center of Murfreesboro,TN,US,2017-07-11,hundreds,200,,200,,,community members,Oppose vandalizing of local mosque,1,rally,0,0,0,0,1,1,http://www.dnj.com/story/news/2017/07/12/murfreesboro-mosque-vandalism-residents-rally-around-muslim-community/465891001/,http://www.tennessean.com/story/news/2017/07/12/murfreesboro-mosque-vandalism-residents-rally-around-muslim-community/465891001/,http://www.wsmv.com/story/35865265/community-rallies-around-murfreesboro-mosque-after-vandalism,,,,
New York,World Changers Chuch,NY,US,2017-07-11,hundreds,200,,200,,,NYC police,Protesting Mayor de Blasio,0,protest,0,0,0,0,0,1,http://nypost.com/2017/07/11/cops-turn-their-backs-on-de-blasio-at-slain-officers-funeral/,,,,,,
