CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
West Palm Beach,,FL,US,2017-11-21,more than 300,300,,300,,,general protestors,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.palmbeachpost.com/news/local/haitians-government-workers-union-protest-tps-decision-west-palm/te5uLQQlOVDpd6A5kkGA8M/,,,,,
Washington,East Front of US Capitol,DC,US,2017-11-01,FB: 287,287,,287,,,Americans for Tax Fairness,Protesting Trump's tax plan,1,rally ,0,0,0,0,1,1,https://www.facebook.com/events/1914463498815726/,https://www.meetup.com/Resist-Washington/events/244513520/,https://www.commondreams.org/news/2017/11/01/gop-scrambles-progressives-vow-defeat-tax-scam-just-we-killed-their-healthcare-bill,,,
Davis,UC Davis,CA,US,2017-11-29,between 250 and 300,250,,300,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.davisenterprise.com/local-news/ucd/ucd-grad-students-protest-taxing-tuition-waivers/,,,,,
New Haven,Olive St.,CT,US,2017-11-01,FB: 214 went,214,,214,,,Connecticut Bail Fund,Rallying for the homeless,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1905011429761144/,,,,,
Washington ,U.S. Capitol ,DC,US,2017-11-15,FB: 206,206,,206,,,Our Revolution ,Protesting Trump's tax plan ,1,rally ,0,0,0,0,0,1,https://www.facebook.com/events/289467031557339/,,,,,
Frankfort,Outside State Capitol,KY,US,2017-11-01,hundreds,200,,200,,,general protestors,Protesting proposed pension cuts,0,protest,0,0,0,0,1,1,http://www.kentucky.com/news/politics-government/article182192926.html,,,,,
Seattle,City Hall,WA,US,2017-11-01,hundreds,200,,200,,,general protestors,Rallying for rights for the homeless,0,rally,0,0,0,0,1,1,http://www.seattlepi.com/homeless_in_seattle/article/Seattle-homeless-city-hall-mayor-emergency-12327855.php,,,,,
New York ,Along Hudson River,NY,US,2017-11-02,hundreds,200,,200,,,general protestors,Vigil for those killed in terror attack,0,rally; vigil,0,0,0,0,0,1,http://www.uticaod.com/news/20171102/8-killed-in-nyc-bike-path-attack-remembered-at-vigil-march,http://www.nydailynews.com/new-york/manhattan/hundreds-march-mourning-victims-nyc-terror-attack-article-1.3608068,,,,
Honolulu,State Capitol,HI,US,2017-11-03,about 200,200,,200,,,general protestors,Protesting Trump's visit,1,protest,0,0,0,0,1,1,http://www.hawaiinewsnow.com/story/36759860/state-lawmaker-says-hell-participate-in-trump-protests,http://thehill.com/blogs/blog-briefing-room/358754-trump-in-hawaii-pearl-harbor-and-protests,http://www.latimes.com/nation/la-na-pol-trump-hawaii-asia-20171103-story.html,http://www.newsweek.com/protests-erupt-during-trumps-first-visit-hawaii-702145,,
New York,Bronx,NY,US,2017-11-03,hundreds,200,,200,,,general protestors,Vigil for woman killed; protesting domestic violence,0,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/bronx/mourners-pack-vigil-bronx-mom-slashed-death-apartment-article-1.3609986,,,,,
Asheville,,NC,US,2017-11-04,hundreds,200,,200,,,general protestors,Protesting gerrymandering,0,protest,0,0,0,0,1,1,http://bpr.org/post/gerrymander-5k-run-draws-hundreds-protest-skewed-political-maps,,,,,
Bastrop,Jackson St.,LA,US,2017-11-04,hundreds,200,,200,,,general protestors,Rallying for justice for man who was killed,0,rally,0,0,0,0,1,1,http://www.knoe.com/content/news/Candlelight-vigil-held-for-Bastrop-shooting-victim-455282233.html,,,,,
Glen Head,,NY,US,2017-11-04,hundreds,200,,200,,,general protestors,Protesting water company,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/nassau/glen-head-water-rates-1.14756105,,,,,
New Haven,Yale University,CT,US,2017-11-04,hundreds,200,,200,,,general protestors,Rallying for union workers,0,rally,0,0,0,0,1,1,http://wtnh.com/2017/11/04/yale-workers-supporters-hold-rally-for-union-validation/,,,,,
San Francisco,Union Square,CA,US,2017-11-04,about 200,200,,200,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.sfgate.com/bayarea/article/Peaceful-anti-Trump-protest-aimed-at-shoppers-in-12332438.php,,,,,
Waukesha,Weldall Manufacturing,WI,US,2017-11-05,hundreds,200,,200,,,Voces de la Frontera,Counter-protest; against Walker,0,protest,0,0,0,0,0,1,http://www.channel3000.com/news/walker-backers-protesters-gather-for-rally/652110691,,,,,
Lincoln,State Capitol,NE,US,2017-11-06,several hundred,200,,200,,,Karen refugees,Protesting ethnic clensing in Myanmar,0,protest,0,0,0,0,1,1,http://www.omaha.com/news/nebraska/lincoln-rally-calls-attention-to-ethnic-groups-struggles-in-myanmar/article_47f1917c-c325-11e7-987e-3f8b2999e50f.html,,,,,
Sutherland Springs,Post Office,TX,US,2017-11-06,hundreds,200,,200,,,general protestors,Vigil for those killed in shooting,0,rally,0,0,0,0,1,1,http://abcnews.go.com/US/heroes-hug-prayer-vigil-mourn-texas-church-victims/story?id=50985429,,,,,
Washington,U.S. Capitol,DC,US,2017-11-06,hundreds,200,,200,,,general protestors,Protesting genocide in Myanmar,0,protest,0,0,0,0,1,1,http://www.startribune.com/minnesota-s-karen-refugees-join-march-on-washington-to-keep-pressure-on-myanmar/455631113/#1,,,,,
Champlin,Champlin Park High School,MN,US,2017-11-08,hundreds,200,,200,,,Students,Protesting racist incidents on social media,0,protest,0,0,0,0,1,1,http://kstp.com/news/champlin-park-protest-racial-incidents-social-media/4663049/,,,,,
