CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Seattle,Westlake Park,WA,US,2017-11-24,several hundred,200,,200,,,Black Lives Matter,Protesting police brutality,1,protest,0,0,0,0,1,1,http://www.kiro7.com/news/local/real-time-updates-protest-in-downtown-seattle-on-black-friday/652307645,http://komonews.com/news/local/seattle-tree-lighting-draws-large-crowds-and-protests,http://kuow.org/post/black-lives-not-black-friday-protesters-rally-downtown-seattle,,,
Denver,Outside Ink Coffee,CO,US,2017-11-25,at least 200,200,,200,,,general protestors,Protesting gentrification,0,protest,0,0,0,0,1,1,http://kdvr.com/2017/11/25/protest-held-outside-ink-coffee-in-denver-over-controversial-sign-about-gentrification/,http://www.denverpost.com/2017/11/25/ink-coffee-gentrification-protest/,,,,
Henagar,,AL,US,2017-11-27,about 200,200,,200,,,Roy Moore campaign,Rally for Roy Moore,2,rally,0,0,0,0,1,1,https://www.cbsnews.com/news/roy-moore-alabama-senate-candidate-rally-denies-allegations/,,,,,
Tampa,Westchase Elementary School,FL,US,2017-11-27,hundreds,200,,200,,,teachers,"""working the contract"" protest to end salary freeze",0,demonstration ,0,0,0,0,1,1,http://www.tampabay.com/news/education/teachers/Teachers-at-Westchase-Elementary-across-Hillsborough-County-head-into-day-two-of-salary-contract-protest_163071360,,,,,
Clemson,Clenson University,SC,US,2017-11-29,roughly 200,200,,200,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.independentmail.com/story/news/2017/11/29/clemson-university-graduate-students-tax-reform-bill/906208001/,http://www.greenvilleonline.com/story/news/2017/11/29/clemson-university-graduate-students-tax-reform-bill/906208001/,http://www.thetigernews.com/tax-rally-periscope/html_32e297aa-d562-11e7-b1b9-e378859b4933.html,,,
Lansing,State Capitol,MI,US,2017-11-29,Several hundred; hundreds,200,,200,,,"Police, firefighters",Protesting changes to pensions,0,protest,0,0,0,0,1,1,http://www.lansingstatejournal.com/story/news/local/capitol/2017/11/29/police-firefighters-again-clog-capitol-protest-planned-changes-retiree-health-care/905008001/,https://www.petoskeynews.com/news/state-region/michigan-police-firefighters-rally-over-pending-legislation/article_a85a5381-98f5-58b6-9545-6586688fac9a.html,http://www.lansingstatejournal.com/picture-gallery/news/local/2017/11/29/first-responders-protest-at-the-capitol/108128790/,,,
Minneapolis,University of Minnesota,MN,US,2017-11-29,hundreds,200,,200,,,Graduate students,Protesting GOP tax plan,1,rally ,0,0,0,0,1,1,http://time.com/5041947/graduate-student-protest-gop-tax-bill/,http://minnesota.cbslocal.com/2017/11/29/u-students-protest-tax-plan/,,,,
San Diego,University of San Diego ,CA,US,2017-11-29,about 200,200,,200,,,UC-Student Workers Unioun ,Protesting GOP tax plan,1,walk out,0,0,0,0,1,1,http://ucsdguardian.org/2017/12/03/ucsd-officials-students-speak-out-against-potentially-costly-gop-tax-proposal/,http://triton.news/2017/11/grad-students-walk-protest-gop-tax-bill/,,,,
Seattle,University of Washington; Red Square,WA,US,2017-11-29,several hundred,200,,200,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.seattletimes.com/seattle-news/education/uw-wsu-protest-plan-to-tax-tuition-waivers-for-grad-students/,,,,,
Brookline,Brookline High School,MA,US,2017-11-30,hundreds,200,,200,,,Students,Protesting racist snapchat video,0,protest,0,0,0,0,1,1,http://brookline.wickedlocal.com/news/20171130/protest-of-racist-videos-resumes-outside-brookline-high-school,,,,,
Kutztown,Kutztown University,PA,US,2017-11-30,around 200; around 200 to 400,200,,400,,,Students,"Counter-protest, defending LGBT",1,protest,0,0,0,0,0,1,http://www.readingeagle.com/news/article/kutztown-university-students-demonstrators-clash,http://www.berksmontnews.com/general-news/20171201/kutztown-university-students-protest-demonstration-by-religious-group-on-campus,,,,
San Francisco,Federal Building,CA,US,2017-11-13,FB: 185 went,185,,185,,,BAYAN USA Northern CA,Protesting Trump; US troops in the Phillipines,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1453065381457947/,,,,,
Geneva ,First Congreagtional Church of Geneva ,IL ,US,2017-11-26,estimated 175,175,,175,,,general protestors,Protesting anti-LGBT vandalization ,0,rally,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/aurora-beacon-news/news/ct-abn-geneva-church-counterprotest-st-1127-20171126-story.html,http://www.chicagotribune.com/suburbs/aurora-beacon-news/news/ct-lgbt-supporters-turn-out-for-geneva-church-20171126-photogallery.html,,,,
New York ,Foley Square,NY,US,2017-11-01,roughly 150,150,,150,,,general protestors,Vigil for those killed in terror attack; rally to stop violence,0,rally,0,0,0,0,1,1,http://www.nydailynews.com/new-york/vigil-victims-terror-truck-attack-offers-messages-peace-article-1.3605136,,,,,
Edison,JCC Community Campus,NJ,US,2017-11-06,more than 150,150,,150,,,general protestors,"Rallying against racism, hatred",0,rally,0,0,0,0,1,1,http://www.mycentraljersey.com/story/news/local/how-we-live/race/2017/11/06/edison-unity-rally-calls-end-hatred-and-racism/835830001/,,,,,
Evansville,Main St. to Civic Center,IN,US,2017-11-12,more than 150,150,,150,,,general protestors,"Rallying for love, not hate",0,march; rally,0,0,0,0,1,1,http://www.courierpress.com/story/news/local/2017/11/12/local-children-march-celebrate-love-and-diversity-3-ways-promote-diversity/854682001/,,,,,
Newburgh,Old National Bank Atrium,IN,US,2017-11-12,more than 150,150,,150,,,general protestors,Promote diversity and social justice,0,march,0,0,0,0,1,1,http://www.courierpress.com/story/news/local/2017/11/12/local-children-march-celebrate-love-and-diversity-3-ways-promote-diversity/854682001/,,,,,
Los Angeles,University of California Los Angeles,CA,US,2017-11-13,about 150,150,,150,,,Socialist Students UCLA,Protesting speech by Ben Shapiro,1,protest,0,0,0,0,1,1,http://dailybruin.com/2017/11/13/bruin-republicans-event-sparks-protests-draws-conflicting-viewpoints/,,,,,
Belton,Belton High School,TX,US,2017-11-17,around 150,150,,150,,,Students,Protesting suspension of football coach,0,protest,0,0,0,0,1,1,http://www.tdtnews.com/news/article_a6f8d866-cc11-11e7-bb72-9f4a4a36f30f.html,,,,,
Urbana,Altgeld Hall,IL,US,2017-11-20,more than 150,150,,150,,,NIU union employees,Protesting for a fair contract with Norhern Illinois University,0,protest,0,0,0,0,1,1,http://www.daily-chronicle.com/lists/2017/11/20/301a63297c51469ba912485b85d1e7cc/index.xml?page=2,,,,,
Denver,Senator Cory Gardner's office ,CO,US,2017-11-27,about 150,150,,150,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.pastemagazine.com/articles/2017/11/what-i-saw-at-a-protest-against-the-republican-tax.html,,,,,
Durham,Duke University,NC,US,2017-11-29,approximately 150,150,,150,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.dukechronicle.com/article/2017/11/graduate-students-stage-walk-out-in-protest-of-proposed-congressional-tax-bill,,,,,
Ellensburg,Central Washington University,WA,US,2017-11-14,about 140,140,,140,,,general protestors,March for peace,0,march,0,0,0,0,1,1,https://www.dailyrecordnews.com/news/peace-march-highlights-community-voices/article_8ab706d8-0577-5483-b7e7-202cfb5d150b.html,,,,,
Middletown,Across from PD,NY,US,2017-11-18,about 130,130,,130,,,general protestors,Rallying against violence; protesting gun violence,1,protest,0,0,0,0,1,1,http://www.recordonline.com/news/20171118/marchers-call-for-arrest-in-mtown-teens-fatal-shooting-rally-to-stop-violence,,,,,
Nyack,Sickles Ave,NY,US,2017-11-18,NA,130,,130,,,Communication Workers of America,"Rallying for higher wages, better working conditions",0,rally,0,0,0,0,1,1,http://www.lohud.com/story/news/local/rockland/orangetown/2017/11/18/nyack-hospital-union-rally/877345001/,,,,,
New York,Outside Wendy's on 3rd and 45th streets,NY,US,2017-11-20,FB: 125 went,125,,125,,,Community Farmworker Alliance,Protesting gender inequality at Wendy's ,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/817181855109159/,,,,,
Orangeburg,Claflin University,SC,US,2017-11-03,roughly 115,115,,115,,,Students,Protesting university,0,protest,0,0,0,0,1,1,http://thetandd.com/news/claflin-students-hold-protest-issues-cited-include-homecoming-concert/article_96e28ce0-a6f8-549a-a178-4f18eb3ed20a.html,,,,,
Washington ,U.S. Capitol ,DC,US,2017-11-15,FB: 110,110,,110,,,Generation Progress,Pro-choice protest ,1,protest ,0,0,0,0,0,1,https://www.facebook.com/events/911126765705536/,,,,,
Denver,Civic Center park,CO,US,2017-11-01,FB: 109 went,109,,109,,,The Resistance 5820,Protesting police brutality,0,protest ,0,0,0,0,1,1,https://www.facebook.com/events/863356400487142/?acontext=%7B%22ref%22%3A%2244%22%2C%22unit_ref%22%3A%22related_events%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22permalink%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22RHC%5C%22%2C%5C%22extra_data%5C%22%3A[]%7D]%22%7D,,,,,
Chicago,DePaul University,IL,US,2017-11-01,about 100,100,,100,,,general protestors,Protesting appearance by Charles Murray,0,protest ,0,0,0,0,1,1,https://www.dnainfo.com/chicago/20171102/lincoln-park/author-charles-murray-appearance-speech-depaul-university-libertarian,,,,,
Ithaca,Cornell University,NY,US,2017-11-02,nearly a hundred,100,,100,,,Students,Protesting defunding of student cinema,0,protest,0,0,0,0,1,1,http://cornellsun.com/2017/11/03/students-protest-at-s-a-after-committee-votes-to-defund-cornell-cinema/,,,,,
West Lafayette,Purdue University,IN,US,2017-11-02,more than 100,100,,100,,,National Society of Black Engineers,Protesting police brutality,0,protest,0,0,0,0,1,1,https://www.purdueexponent.org/campus/article_4864d44c-51fd-5f90-bf19-b900206a5ff9.html,,,,,
Elizabethtown,Central Hardin High School,KY,US,2017-11-03,about 100,100,,100,,,Students,Rallying for teachers against proposed pension plan,0,protest,0,0,0,0,1,1,http://www.thenewsenterprise.com/news/education/area-students-rally-against-pension-plan/article_f06bfc00-aa29-59c3-9bcc-0934f593c940.html,,,,,
Chicago,The Loop,IL,US,2017-11-04,more than 100,100,,100,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/news/local/breaking/ct-trump-pence-chicago-protest-march-20171104-story.html,,,,,
Philadelphia,Paine Plaza,PA,US,2017-11-04,about 100,100,,100,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://philadelphia.cbslocal.com/2017/11/04/anti-trump-protesters-gather-in-thomas-paine-plaza/,,,,,
Portland,Jamison Square,OR,US,2017-11-04,at least 100,100,,100,,,general protestors,Refuse facism; protesting Trump,1,protest ,0,0,0,0,1,1,https://pdxactivist.org/events/1662,http://www.kgw.com/news/local/antifa-protest-planned-in-downtown-portland-on-saturday/488957603,,,,
Denver,State Capitol,CO,US,2017-11-05,more than 100,100,,100,,,Colorado Coalition Againat Sexual Assault,Protesting sexual violence,0,protest,0,0,0,0,1,1,http://denver.cbslocal.com/2017/11/06/metoo-rally-denver/,,,,,
Blackburg,Virginia Tech University,VA,US,2017-11-06,more than 100,100,,100,,,Students,Protesting racist incidents on campus,0,protest,0,0,0,0,1,1,http://www.wdbj7.com/content/news/Virginia-Tech-students-protest-and-march-against-white-supremacy-455725723.html,,,,,
Durango,,CO,US,2017-11-06,100,100,,100,,,general protestors,Protesting one-year delay of Bureau of Land Management's Methane and Water Prevention Rule ,0,protest ,0,0,0,0,1,1,http://pagosadailypost.com/2017/11/07/opinion-protest-in-durango-over-blm-methane-rule-delay/,,,,,
Syracuse ,Outside Tech Garden ,NY ,US,2017-11-06,nearly 100; 150,100,,150,,,Democracy is for People ,Protesting Linda McMahon visit ,1,protest ,0,0,0,0,1,1,http://waer.org/post/trump-administration-small-business-roundtable-met-tax-reform-protestors,,,,,
Jefferson,Courthouse,IN,US,2017-11-08,more than 100,100,,100,,,general protestors,Protesting new contruction plan,0,protest,0,0,0,0,1,1,http://www.whas11.com/news/local/indiana/protest-in-clark-county-over-housing-project/490321994,,,,,
New York,HQ of Anti-Defamation League,NY,US,2017-11-08,nearly 100,100,,100,,,Jewish Voice for Peace,Protesting U.S. relationship with Israel,0,protest,7,0,0,0,0,1,http://mondoweiss.net/2017/11/members-arrested-demonstration/,,,,,
Bedford,Near Amtrak station,VA,US,2017-11-09,about 100p; dozens,100,,100,,,Bedford/Franklin Regional Rail Initiative,Rallying for train stop,0,rally,0,0,0,0,1,1,http://www.newsadvance.com/news/local/bedford-area-residents-rally-in-support-of-a-train-stop/article_072db9f6-c59e-11e7-933c-7b0f2161aa02.html,http://www.roanoke.com/news/local/bedford_county/with-signs-and-luggage-supporters-rally-for-bedford-train-stop/article_e33a2cb9-8058-50f4-b087-04460c88a9e7.html,http://www.newsadvance.com/news/local/with-signs-and-luggage-supporters-rally-for-bedford-train-stop/article_9decd277-8d31-5da2-af1b-7ffe592e4c9d.html,,,
Manchester,Outside Manchester Catering Hall,NH,US,2017-11-09,more than 100,100,,100,,,NH Young Democrats; Granite State Progress; Seacoast Resistance,Protesting appearance by Steve Bannon,1,protest,0,0,0,0,1,1,https://manchesterinklink.com/the-light-brigade-protests-steve-bannon-event-in-manchester/,,,,,
New York ,Manhattan; Union Square,NY,US,2017-11-09,more than 100,100,,100,,,general protestors,Protesting acquittal of cop accused of murder,0,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/manhattan/demonstrators-protest-acquittal-nypd-delrawn-small-slay-article-1.3622786,,http://www.nydailynews.com/new-york/manhattan/demonstrators-protest-acquittal-nypd-delrawn-small-slay-article-1.3622786,,,
Coushatta,,LA,US,2017-11-11,almost 100,100,,100,,,general protestors,raise awarness for health of veterans,0,march,0,0,0,0,1,1,https://www.ktbs.com/news/a-memorial-awareness-march-for-combat-vet-killed-in-officer/article_ec95aa32-c74f-11e7-a0f8-5fc07dbe33a7.html,,,,,
Fayetteville,,NC,US,2017-11-11,about 100,100,,100,,,general protestors,Rallying for veterans,0,rally,0,0,0,0,1,1,http://spectrumlocalnews.com/nc/triangle-sandhills/news/2017/11/11/motorcycle-rally-celebrates-veterans,,,,,
Westminster,,CO,US,2017-11-11,more than 100,100,,100,,,Mothers Against Drunk Driving,Rallying against drunk driving,0,rally,0,0,0,0,1,1,http://denver.cbslocal.com/2017/11/12/dui-increase-vigil-madd/,,,,,
West Palm Beach,Trump Plaza to City Place,FL,US,2017-11-11,about 100,100,,100,,,general protestors,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.palmbeachpost.com/news/local/trump-protesters-command-streets-downtown-west-palm-beach/ziJpY3hii2WuiNNf20k51J/,http://www.palmbeachdailynews.com/news/hispanic-students-and-artists-join-trump-protesters-downtown-west-palm-beach/JWKPA2H6XfRu3jXiAUXY2I/,http://www.palmbeachdailynews.com/news/local/trump-protesters-command-streets-downtown-west-palm-beach/ziJpY3hii2WuiNNf20k51J/,,,
Evanston,Lake Street Church,IL,US,2017-11-12,about 100,100,,100,,,general protestors,Rally for unity,0,rally,0,0,0,0,1,1,https://dailynorthwestern.com/2017/11/12/city/interfaith-rally-calls-solidarity-1-year-presidential-election/,,,,,
Pearl River ,Pearl River Post ,NY ,US ,2017-11-12,100 (pic); a crowd,100,,100,,,American Legion ,Protesting Football Protests ,0,protest ,0,0,0,0,1,1,http://westchester.news12.com/story/36824724/american-legion-protests-nfl-for-kneeling-controversy,,,,,
Chapel Hill,University of North Carolina,NC,US,2017-11-14,about 100,100,,100,,,general protestors,Protesting confederate statue,1,protest,0,0,0,0,1,1,http://abc11.com/education/silent-sam-protesters-were-not-going-to-stop/2647901/,,,,,
Louisville,Manual High School,KY,US,2017-11-14,more than one hundred,100,,100,,,general protestors,Protesting suspension of principal,0,protest,0,0,0,0,1,1,http://www.whas11.com/news/local/manual-students-target-principal-with-sit-in-protest/491791789,,,,,
Boston ,State House ,MA,US,2017-11-16,about 100,100,,100,,,Mass Power Forward,Rally to enact legislation regarding fossil fuels,0,sit-in ,0,0,0,0,1,1,http://wwlp.com/2017/11/16/environmental-activists-continue-sit-in-at-governors-office/,,,,,
Downers Grove,Downers Grover Banquet Hall,IL,US,2017-11-16,more than 100,100,,100,,,Coalition of Better Illinois 6th,Protesting GOP tax plan; attempts to repeal ACA,1,protest,0,0,0,0,1,1,http://www.nwherald.com/2017/11/17/hundreds-protest-rep-peter-roskams-stance-on-health-care-tax-plan-at-gop-fundraiser/a7ckhs5/,,,,,
Houston,Civil courthouse,TX,US,2017-11-16,more than 100,100,,100,,,general protestors,Rallying for justice in murder case,0,rally,0,0,0,0,1,1,http://www.chron.com/news/houston-texas/article/Trials-set-for-county-deputy-and-husband-charged-12362773.php,,,,,
Athens,University of Georgia,GA,US,2017-11-17,over 100,100,,100,,,Athens Anti-Discrimination Movement,Protesting discrimation in downtown bars,0,protest,0,0,0,0,1,1,https://www.redandblack.com/athensnews/athens-residents-march-against-discrimination-in-downtown-bars/article_e5dac97c-cc25-11e7-8c08-373f01912e02.html,,,,,
Minneapolis,State Capitol,MN,US,2017-11-17,about 100,100,,100,,,general protestors,"Protesting sexual assault, harrassment",1,protest,0,0,0,0,0,1,http://minnesota.cbslocal.com/2017/11/17/protests-state-capitol-harassment/,http://www.postbulletin.com/news/local/crowd-chants-i-believe-her-at-rally-against-sexual-harassment/article_90f88de7-5b29-570d-8e9f-d4189f2d6ea8.html,,,,
Painesville,Rep. Joyce's office,OH,US,2017-11-17,nearly 100,100,,100,,,general protestors,Protesting deportation of local woman,1,protest,0,0,0,0,1,1,http://www.cleveland.com/metro/index.ssf/2017/11/anti-deportation_protest_goes.html,,,,,
Birmingham,Local church,AL,US,2017-11-18,more than 100,100,,100,,,general protestors,Protesting Roy Moore,0,protest,0,0,0,0,1,1,https://www.usnews.com/news/best-states/alabama/articles/2017-11-18/the-latest-church-leaders-who-oppose-roy-moore-hold-rally,http://www.nydailynews.com/news/politics/100-protesters-rally-roy-moore-alabama-church-article-1.3642431,https://www.nbcnews.com/feature/nbc-out/anti-gay-supporters-rally-moore-worrying-lgbtq-community-n822266?cid=par-aff-gray,,,
Boston,Boston Common,MA,US,2017-11-18,a few hundreds; about 1000; at least 100,100,,1000,,,general protestors,Counter-protest,1,protest,3,0,0,0,0,1,http://boston.cbslocal.com/2017/11/18/boston-free-speech-rally-november/,http://www.wcvb.com/article/months-after-clashes-free-speech-rally-being-held-in-boston/13800375,http://www.wbur.org/news/2017/11/18/2-arrested-free-speech-rally-boston,http://www.theday.com/statenortheast-news/20171119/boston-free-speech-rally-draws-few-supporters-many-protesters,,
Lincoln,State Capitol,NE,US,2017-11-19,about 140; more than 100,100,,140,,,general protestors,Protesting Keystone XL pipeline,1,protest,0,0,0,0,1,1,http://www.omaha.com/news/nebraska/keystone-xl-opponents-protest-the-day-before-nebraska-psc-is/article_ed7a5de8-cd6d-11e7-a27e-333ab6a33cd2.html,http://rapidcityjournal.com/news/latest/oil-pipeline-protesters-gather-ahead-of-nebraska-s-decision/article_b909c400-a9b0-5225-87bc-b48ec17f63df.html,http://www.ketv.com/article/pipeline-opponents-rally-in-lincoln/13803890,,,
New York ,White Playground (East Harlem); Trump Tower,NY,US,2017-11-19,around 100,100,,100,,,Community leaders; activists ,Puerto Rico Unity March ,0,march ,0,0,0,0,1,1,http://www.nydailynews.com/new-york/manhattan/activists-march-raise-awareness-puerto-rico-struggles-article-1.3643994,,,,,
Canonsburg,,PA,US,2017-11-20,more than 100,100,,100,,,Rising Tide North America,Protesting energy company's investment in fossil fuels,1,protest,0,0,0,0,1,1,https://observer-reporter.com/news/localnews/marchers-descend-on-southpointe-to-protest-environmental-impacts-of-gas/article_035bc0a8-ce0d-11e7-85fd-5388ca5d4712.html,https://observer-reporter.com/opinion/editorials/protest-was-peaceful-disruptive-in-southpointe/article_ecc109c2-cef0-11e7-931b-bbdc84bd9a39.html,,,,
Pittsburgh,Southpointe,PA,US,2017-11-20,more than 100,100,,100,,,general protestors,Protesting fracking,1,protest,0,0,0,0,1,1,https://www.commondreams.org/news/2017/11/20/anti-fracking-protest-shuts-down-traffic-energy-companies-offices,https://observer-reporter.com/news/localnews/marchers-descend-on-southpointe-to-protest-environmental-impacts-of-gas/article_035bc0a8-ce0d-11e7-85fd-5388ca5d4712.html,,,,
St. Paul,minnesota state capitol building,MN,US,2017-11-20,about 100,100,,100,,,The Mille Lacs Band of Ojibwe; general public ,"""Un-Cuff Our Cops"" rally ",0,rally,0,0,0,0,1,1,http://www.brainerddispatch.com/news/government-and-politics/4361735-mille-lacs-band-host-rally-state-capitol,http://www.grandforksherald.com/news/crime-and-courts/4362757-mille-lacs-band-rallies-police,http://www.inforum.com/news/crime-and-courts/4362757-mille-lacs-band-rallies-police,,,
Bismarck,,ND,US,2017-11-21,more than 100,100,,100,,,Teamsters,Rallying for pensions,0,rally,0,0,0,0,1,1,http://www.minotdailynews.com/news/local-news/2017/11/retirees-rally-for-bill-to-save-pensions/,,,,,
Oakland,Alameda County Board of supervisors,CA,US,2017-11-21,more than 100,100,,100,,,general protestors,Protesting county sheriff,0,protest,0,0,0,0,1,1,http://sfbayview.com/2017/11/community-members-rally-to-demand-audit-of-alameda-county-sheriff-gregory-ahern/,,,,,
Los Angeles,March through downtown,CA,US,2017-11-22,around 100,100,,100,,,general protestors,Protesting Trump's decision to end DACA; rally for imigrants,1,march,0,0,0,0,1,1,http://abc7.com/community-events/immigrant-rights-groups-march-for-thanksgiving-rally/2683783/,,,,,
New York ,Anti-Defamation League Headquarters ,NY,US,2017-11-22,nearly 100,100,,100,,,Voice for Peace ,Protestsing ADL's sponsership of exchanges between US and Israeli law enforment,0,sit-in ,7,0,0,0,1,1,http://mondoweiss.net/2017/11/members-arrested-demonstration/,,,,,
Brandon,,MI,US,2017-11-23,more than 100,100,,100,,,general protestors,Rally for cop killed in line of duty,0,rally,0,0,0,0,1,1,http://detroit.cbslocal.com/2017/11/24/oakland-county-sheriffs-deputy-honored-at-vigil/,,,,,
Chicago,Far South Side,IL,US,2017-11-24,More than 100,100,,100,,,general protestors,Rallying for domestic abuse awareness,0,rally,0,0,0,0,1,1,http://wgntv.com/2017/11/24/its-heartbreaking-vigil-held-for-slain-young-mother-of-two/,,,,,
Chicago,North Michigan Ave.,IL,US,2017-11-24,about 100,100,,100,,,general protestors,Protesting police brutaliy,1,protest,0,0,0,0,0,1,http://www.chicagotribune.com/news/ct-met-black-friday-protest-met-20171124-story.html,http://chicago.cbslocal.com/2017/11/24/activist-black-friday-protest-demand-justice-police-misconduct/,https://chicago.suntimes.com/news/mag-mile-protest-shoppers-black-friday/,,,
Chicago,Water Tower Place,IL,US,2017-11-24,about 100,100,,100,,,general protestors,Protesting Black Friday; consumerism,0,protest ,0,0,0,0,0,1,http://www.breitbart.com/big-government/2017/11/25/chicago-black-friday-protest-meager-compared-past-years/,,,,,
St. Louis,Galleria Mall,MO,US,2017-11-24,nearly 100,100,,100,,,No Justice No Profit,Protesting Black Friday; consumerism,0,protest,7,0,0,0,1,1,http://abcnews.go.com/US/arrested-black-friday-mall-protest-missouri-report/story?id=51367602,http://6abc.com/news/several-arrested-in-black-friday-mall-protest-report-/2692120/,http://www.morganton.com/news/us/ap/arrested-during-mall-protest-in-suburban-st-louis/article_9758617f-2bda-5b8a-95a6-a950529f4468.html,,,
Hamilton,Middle School,MT,US,2017-11-25,more than 100,100,,100,,,general protestors,Protesting new zoning situation,0,protest,0,0,0,0,1,1,http://missoulian.com/news/state-and-regional/updated-protesters-greet-appearance-by-land-use-attorney-budd-falen/article_91d54018-2da5-5453-9564-f9238e5bf4ef.html,,,,,
Ann Arbor ,University of Michigan ,MI ,US,2017-11-28,around 100,100,,100,,,Students4Justice,Protesting possibility of visit by right-wing Richard Spencer to campus ,1,protest ,0,0,0,0,1,1,http://www.mlive.com/news/ann-arbor/index.ssf/2017/11/university_of_michigan_student_124.html,http://www.mlive.com/news/ann-arbor/index.ssf/2017/11/um_student_groups_plan_strike.html,https://www.clickondetroit.com/all-about-ann-arbor/university-of-michigan-students-walk-out-of-class-protesting-negotiations-with-white-nationalist,,,
New York,Brooklyn Courthouse,NY,US,2017-11-28,nearly 100,100,,100,,,Defense lawyers,Protesting ICE intervention in case,1,protest,0,0,0,0,1,1,http://www.nydailynews.com/new-york/brooklyn/defense-attorneys-protest-client-ice-arrest-brooklyn-article-1.3663018,,,,,
Storrs ,University of Connecticut; Schenker Hall (inside and outside) ,CT,US,2017-11-28,about 100; hundreds; 350,100,,350,,,Students ,counter-protestor,1,protest ,0,0,0,1,0,1,http://www.courant.com/opinion/editorials/hc-ed-lucian-wintrich-uconn-1130-20171129-story.html,https://nypost.com/2017/11/28/uconn-student-group-to-host-speech-its-ok-to-be-white/,https://www.facebook.com/events/896370530517601/?active_tab=discussion,,https://www.facebook.com/events/648422521995188/,https://twitter.com/thescoop_us/status/936021559956742144
Bloomington,Indiana University,IN,US,2017-11-29,more than 100,100,,100,,,graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.idsnews.com/article/2017/11/ciwalkout,,,,,
Boulder,University of Colorado,CO,US,2017-11-29,about 100,100,,100,,,graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.dailycamera.com/cu-news/ci_31488699/cu-boulder-grad-students-rally-against-punitive-provision?source=rss,http://www.coloradodaily.com/cu-news/ci_31488699/cu-boulder-grad-students-rally-against-punitive-provision,,,,
Lexington,University of Kentucky,KY,US,2017-11-29,more than 100,100,,100,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.kentucky.com/latest-news/article187107353.html,http://www.kentucky.com/news/politics-government/article187152318.html,https://www.wtvq.com/2017/11/29/progressive-groups-hold-protest-gop-tax-plan/,,,
Los Angeles,UCLA,CA,US,2017-11-29,more than 100,100,,100,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://dailybruin.com/2017/11/29/graduate-students-join-national-protest-against-taxing-waived-tuition/,,,,,
Newark,University of Delaware,DE,US,2017-11-29,more than 100,100,,100,,,general protestors,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.newarkpostonline.com/news/article_758c1441-d163-5d3e-a88c-eed1d483b19c.html,,,,,
New York,Union Square,NY,US,2017-11-29,approximately 100,100,,100,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://time.com/5041947/graduate-student-protest-gop-tax-bill/,https://www.nyunews.com/2017/11/30/graduate-students-protest-tax-reform/,,,,
San Francisco,Chinatown,CA,US,2017-11-29,more than 100,100,,100,,,general protestors,Protesting attempts to drive out low income renters,0,protest,0,0,0,0,1,1,http://www.sfgate.com/bayarea/article/SF-Chinatown-tenants-accuse-landlord-of-trying-to-12393516.php,,,,,
Syracuse,Syracuse University; Hendricks Chapel ,NY,US,2017-11-29,more than 100,100,,100,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://dailyorange.com/2017/11/su-community-rallies-against-tax-plan-grad-students-announce-unionization-drive/,,,,,
Las Vegas,Desert Pines High School,NV,US,2017-11-30,about 100,100,,100,,,general protestors,Rallying for the DREAM Act,1,rally,0,0,0,0,1,1,http://www.fox5vegas.com/story/36968947/dreamers-demand-dream-act-during-las-vegas-march,,,,,
South Bend, Our Lady of the Road,IN,US,2017-11-30,more than 100,100,,100,,,general protestors,Protesting construction of detention center,0,protest,0,0,0,0,1,1,http://fox59.com/2017/12/01/south-bend-residents-rally-together-to-oppose-ice-detention-center/,,,,,
